title,year,audio_languages,audio_quality,subtitle_languages,encoding,imdb_link,imdb_id
Pather Panchali,1955,,,,,https://www.imdb.com/title/tt0048473/,48473
Indiana Jones and the Last Crusade,1989,,,,,https://www.imdb.com/title/tt0097576/,97576
Heat,1995,,,,,https://www.imdb.com/title/tt0113277/,113277
L.A. Confidential,1997,,,,,https://www.imdb.com/title/tt0119488/,119488
Ran,1985,,,,,https://www.imdb.com/title/tt0089881/,89881
"Hard, Die",1988,,,,,https://www.imdb.com/title/tt0095016/,95016
Yojimbo,1961,,,,,https://www.imdb.com/title/tt0055630/,55630
Green Book,2018,,,,,https://www.imdb.com/title/tt6966692/,6966692
Rashomon,1950,,,,,https://www.imdb.com/title/tt0042876/,42876
Downfall,2004,,,,,https://www.imdb.com/title/tt0363163/,363163
All About Eve,1950,,,,,https://www.imdb.com/title/tt0042192/,42192
Monty Python and the Holy Grail,1975,,,,,https://www.imdb.com/title/tt0071853/,71853
Some Like It Hot,1959,,,,,https://www.imdb.com/title/tt0053291/,53291
Batman Begins,2005,,,,,https://www.imdb.com/title/tt0372784/,372784
Unforgiven,1992,,,,,https://www.imdb.com/title/tt0105695/,105695
Jai Bhim,2021,,,,,https://www.imdb.com/title/tt15097216/,15097216
Children of Heaven,1997,,,,,https://www.imdb.com/title/tt0118849/,118849
Howl's Moving Castle,2004,,,,,https://www.imdb.com/title/tt0347149/,347149
"Wolf of Wall Street, The",2013,,,,,https://www.imdb.com/title/tt0993846/,993846
Judgment at Nuremberg,1961,,,,,https://www.imdb.com/title/tt0055031/,55031
There Will Be Blood,2007,,,,,https://www.imdb.com/title/tt0469494/,469494
Casino,1995,,,,,https://www.imdb.com/title/tt0112641/,112641
"Great Escape, The",1963,,,,,https://www.imdb.com/title/tt0057115/,57115
"Treasure of the Sierra Madre, The",1948,,,,,https://www.imdb.com/title/tt0040897/,40897
Pan's Labyrinth,2006,,,,,https://www.imdb.com/title/tt0457430/,457430
"Beautiful Mind, A",2001,,,,,https://www.imdb.com/title/tt0268978/,268978
"Secret in Their Eyes, The",2009,,,,,https://www.imdb.com/title/tt1305806/,1305806
Raging Bull,1980,,,,,https://www.imdb.com/title/tt0081398/,81398
Chinatown,1974,,,,,https://www.imdb.com/title/tt0071315/,71315
My Neighbor Totoro,1988,,,,,https://www.imdb.com/title/tt0096283/,96283
Shutter Island,2010,,,,,https://www.imdb.com/title/tt1130884/,1130884
"Lock, Stock and Two Smoking Barrels",1998,,,,,https://www.imdb.com/title/tt0120735/,120735
No Country for Old Men,2007,,,,,https://www.imdb.com/title/tt0477348/,477348
Klaus,2019,,,,,https://www.imdb.com/title/tt4729430/,4729430
Dial M for Murder,1954,,,,,https://www.imdb.com/title/tt0046912/,46912
"Thing, The",1982,,,,,https://www.imdb.com/title/tt0084787/,84787
"Gold Rush, The",1925,,,,,https://www.imdb.com/title/tt0015864/,15864
"Three Billboards Outside Ebbing, Missouri",2017,,,,,https://www.imdb.com/title/tt5027774/,5027774
"Seventh Seal, The",1957,,,,,https://www.imdb.com/title/tt0050976/,50976
"Elephant Man, The",1980,,,,,https://www.imdb.com/title/tt0080678/,80678
"Sixth Sense, The",1999,,,,,https://www.imdb.com/title/tt0167404/,167404
Dersu Uzala,1975,,,,,https://www.imdb.com/title/tt0071411/,71411
Jurassic Park,1993,,,,,https://www.imdb.com/title/tt0107290/,107290
"Truman Show, The",1998,,,,,https://www.imdb.com/title/tt0120382/,120382
Wild Strawberries,1957,,,,,https://www.imdb.com/title/tt0050986/,50986
"Third Man, The",1949,,,,,https://www.imdb.com/title/tt0041959/,41959
Memories of Murder,2003,,,,,https://www.imdb.com/title/tt0353969/,353969
V for Vendetta,2005,,,,,https://www.imdb.com/title/tt0434409/,434409
Blade Runner,1982,,,,,https://www.imdb.com/title/tt0083658/,83658
Trainspotting,1996,,,,,https://www.imdb.com/title/tt0117951/,117951
Fargo,1996,,,,,https://www.imdb.com/title/tt0116282/,116282
"Bridge on the River Kwai, The",1957,,,,,https://www.imdb.com/title/tt0050212/,50212
Inside Out,2015,,,,,https://www.imdb.com/title/tt2096673/,2096673
Finding Nemo,2003,,,,,https://www.imdb.com/title/tt0266543/,266543
Kill Bill: Vol. 1,2003,,,,,https://www.imdb.com/title/tt0266697/,266697
Warrior,2011,,,,,https://www.imdb.com/title/tt1291584/,1291584
Gone with the Wind,1939,,,,,https://www.imdb.com/title/tt0031381/,31381
Tokyo Story,1953,,,,,https://www.imdb.com/title/tt0046438/,46438
On the Waterfront,1954,,,,,https://www.imdb.com/title/tt0047296/,47296
My Father and My Son,2005,,,,,https://www.imdb.com/title/tt0476735/,476735
Prisoners,2013,,,,,https://www.imdb.com/title/tt1392214/,1392214
Wild Tales,2014,,,,,https://www.imdb.com/title/tt3011894/,3011894
Stalker,1979,,,,,https://www.imdb.com/title/tt0079944/,79944
"Grand Budapest Hotel, The",2014,,,,,https://www.imdb.com/title/tt2278388/,2278388
"Deer Hunter, The",1978,,,,,https://www.imdb.com/title/tt0077416/,77416
"General, The",1926,,,,,https://www.imdb.com/title/tt0017925/,17925
Persona,1966,,,,,https://www.imdb.com/title/tt0060827/,60827
Sherlock Jr.,1924,,,,,https://www.imdb.com/title/tt0015324/,15324
Gran Torino,2008,,,,,https://www.imdb.com/title/tt1205489/,1205489
Before Sunrise,1995,,,,,https://www.imdb.com/title/tt0112471/,112471
Mary and Max,2009,,,,,https://www.imdb.com/title/tt0978762/,978762
Catch Me If You Can,2002,,,,,https://www.imdb.com/title/tt0264464/,264464
Mr. Smith Goes to Washington,1939,,,,,https://www.imdb.com/title/tt0031679/,31679
Barry Lyndon,1975,,,,,https://www.imdb.com/title/tt0072684/,72684
In the Name of the Father,1993,,,,,https://www.imdb.com/title/tt0107207/,107207
Dune,2021,,,,,https://www.imdb.com/title/tt1160419/,1160419
Hacksaw Ridge,2016,,,,,https://www.imdb.com/title/tt2119532/,2119532
Gone Girl,2014,,,,,https://www.imdb.com/title/tt2267998/,2267998
Z,1969,,,,,https://www.imdb.com/title/tt0065234/,65234
Room,2015,,,,,https://www.imdb.com/title/tt3170832/,3170832
Andhadhun,2018,,,,,https://www.imdb.com/title/tt8108198/,8108198
"Passion of Joan of Arc, The",1928,,,,,https://www.imdb.com/title/tt0019254/,19254
Ford v Ferrari,2019,,,,,https://www.imdb.com/title/tt1950186/,1950186
12 Years a Slave,2013,,,,,https://www.imdb.com/title/tt2024544/,2024544
To Be or Not to Be,1942,,,,,https://www.imdb.com/title/tt0035446/,35446
"Big Lebowski, The",1998,,,,,https://www.imdb.com/title/tt0118715/,118715
Dead Poets Society,1989,,,,,https://www.imdb.com/title/tt0097165/,97165
Harry Potter and the Deathly Hallows: Part 2,2011,,,,,https://www.imdb.com/title/tt1201607/,1201607
Ben-Hur,1959,,,,,https://www.imdb.com/title/tt0052618/,52618
How to Train Your Dragon,2010,,,,,https://www.imdb.com/title/tt0892769/,892769
Mad Max: Fury Road,2015,,,,,https://www.imdb.com/title/tt1392190/,1392190
Autumn Sonata,1978,,,,,https://www.imdb.com/title/tt0077711/,77711
Million Dollar Baby,2004,,,,,https://www.imdb.com/title/tt0405159/,405159
"Wages of Fear, The",1953,,,,,https://www.imdb.com/title/tt0046268/,46268
Stand by Me,1986,,,,,https://www.imdb.com/title/tt0092005/,92005
Network,1976,,,,,https://www.imdb.com/title/tt0074958/,74958
"Handmaiden, The",2016,,,,,https://www.imdb.com/title/tt4016934/,4016934
Logan,2017,,,,,https://www.imdb.com/title/tt3315342/,3315342
"Haine, La",1995,,,,,https://www.imdb.com/title/tt0113247/,113247
Gangs of Wasseypur,2012,,,,,https://www.imdb.com/title/tt1954470/,1954470
Cool Hand Luke,1967,,,,,https://www.imdb.com/title/tt0061512/,61512
"Silent Voice: The Movie, A",2016,,,,,https://www.imdb.com/title/tt5323662/,5323662
Hachi: A Dog's Tale,2009,,,,,https://www.imdb.com/title/tt1028532/,1028532
"400 Blows, The",1959,,,,,https://www.imdb.com/title/tt0053198/,53198
Platoon,1986,,,,,https://www.imdb.com/title/tt0091763/,91763
Spotlight,2015,,,,,https://www.imdb.com/title/tt1895587/,1895587
"Monsters, Inc.",2001,,,,,https://www.imdb.com/title/tt0198781/,198781
Rebecca,1940,,,,,https://www.imdb.com/title/tt0032976/,32976
Life of Brian,1979,,,,,https://www.imdb.com/title/tt0079470/,79470
In the Mood for Love,2000,,,,,https://www.imdb.com/title/tt0118694/,118694
"Bandit, The",1996,,,,,https://www.imdb.com/title/tt0116231/,116231
Hotel Rwanda,2004,,,,,https://www.imdb.com/title/tt0395169/,395169
Rush,2013,,,,,https://www.imdb.com/title/tt1979320/,1979320
Rocky,1976,,,,,https://www.imdb.com/title/tt0075148/,75148
Amores perros,2000,,,,,https://www.imdb.com/title/tt0245712/,245712
Into the Wild,2007,,,,,https://www.imdb.com/title/tt0758758/,758758
Nausicaä of the Valley of the Wind,1984,,,,,https://www.imdb.com/title/tt0087544/,87544
Drishyam,2013,,,,,https://www.imdb.com/title/tt3417422/,3417422
Before Sunset,2004,,,,,https://www.imdb.com/title/tt0381681/,381681
It Happened One Night,1934,,,,,https://www.imdb.com/title/tt0025316/,25316
Demon Slayer: Mugen Train,2020,,,,,https://www.imdb.com/title/tt11032374/,11032374
Fanny and Alexander,1982,,,,,https://www.imdb.com/title/tt0083922/,83922
Drishyam 2,2021,,,,,https://www.imdb.com/title/tt12361178/,12361178
Hera Pheri,2000,,,,,https://www.imdb.com/title/tt0242519/,242519
"Battle of Algiers, The",1966,,,,,https://www.imdb.com/title/tt0058946/,58946
Nights of Cabiria,1957,,,,,https://www.imdb.com/title/tt0050783/,50783
Andrei Rublev,1966,,,,,https://www.imdb.com/title/tt0060107/,60107
"Good, the Bad and the Ugly, The",1966,,,,,https://www.imdb.com/title/tt0060196/,60196
"Maltese Falcon, The",1941,,,,,https://www.imdb.com/title/tt0033870/,33870
"Wizard of Oz, The",1939,,,,,https://www.imdb.com/title/tt0032138/,32138
"Manchurian Candidate, The",1962,,,,,https://www.imdb.com/title/tt0056218/,56218
Touch of Evil,1958,,,,,https://www.imdb.com/title/tt0052311/,52311
